ut	time_id	title	url	n_chars
1627320300	2021-07-26-1725	100 MT of used yoghurt cups discarded annually: Amaraweera	https://www.dailymirror.lk/breaking_news/100-MT-of-used-yoghurt-cups-discarded-annually-Amaraweera/108-216888	2258
1625689860	2021-07-07-2031	38 more die of COVID-19	https://www.dailymirror.lk/breaking_news/38-more-die-of-COVID-19/108-215589	267
1627331160	2021-07-26-2026	48 more die of COVID-19: Death toll surges to 4,147	https://www.dailymirror.lk/breaking_news/48-more-die-of-COVID-19-Death-toll-surges-to-4-147/108-216894	267
1627368660	2021-07-27-0651	600,000 half vaccinated people in WP now vulnerable to Delta variant	https://www.dailymirror.lk/breaking_news/600-000-half-vaccinated-people-in-WP-now-vulnerable-to-Delta-variant/108-216946	2500
1627307400	2021-07-26-1350	Actress Upeksha Swarnamali released on police bail	https://www.dailymirror.lk/breaking_news/Actress-Upeksha-Swarnamali-released-on-police-bail/108-216883	298
1627304400	2021-07-26-1300	Another petition filed in SC challenging Finance Bill	https://www.dailymirror.lk/breaking_news/Another-petition-filed-in-SC-challenging-Finance-Bill/108-216880	1777
1627403640	2021-07-27-1634	Antibodies from Sinovac’s COVID-19 shot fade after about 6 months, booster helps	https://www.dailymirror.lk/breaking_news/Antibodies-from-Sinovacs-COVID-19-shot-fade-after-about-6-months-booster-helps/108-216960	2563
1627310760	2021-07-26-1446	CA orders to demarcate physical boundaries of  Muthurajawela Sanctuary	https://www.dailymirror.lk/breaking_news/CA-orders-to-demarcate-physical-boundaries-of-Muthurajawela-Sanctuary/108-216885	2195
1627315920	2021-07-26-1612	Delta variant cases are in every part of the country: Health Ministry	https://www.dailymirror.lk/breaking_news/Delta-variant-cases-are-in-every-part-of-the-country-Health-Ministry/108-216889	1196
1627397100	2021-07-27-1445	Discussions with govt fails, teachers, principals  continue	https://www.dailymirror.lk/breaking_news/Discussions-with-govt-fails-teachers-principals-continue/108-216957	708
